('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         1035302 function calls (1011084 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      301    1.018    0.003    1.018    0.003 {method 'read' of '_ssl._SSLSocket' objects}
     5328    0.045    0.000    0.251    0.000 parser.py:301(parse_starttag)
    46436    0.040    0.000    0.040    0.000 {method 'match' of 're.Pattern' objects}
        1    0.038    0.038    0.038    0.038 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.032    0.032    0.032    0.032 {method 'connect' of '_socket.socket' objects}
        4    0.032    0.008    0.406    0.102 parser.py:134(goahead)
        1    0.026    0.026    0.026    0.026 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4759/198    0.025    0.000    0.071    0.000 _parser.py:512(_parse)
     5328    0.021    0.000    0.032    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     5328    0.019    0.000    0.116    0.000 __init__.py:987(handle_starttag)
       38    0.019    0.000    0.019    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 5521/190    0.016    0.000    0.037    0.000 _compiler.py:37(_compile)
    11140    0.015    0.000    0.062    0.000 __init__.py:826(endData)
     5328    0.015    0.000    0.136    0.000 _htmlparser.py:142(handle_starttag)
      165    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
     5330    0.014    0.000    0.053    0.000 element.py:1618(__init__)
    16254    0.014    0.000    0.014    0.000 element.py:376(setup)
   102752    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
     5030    0.012    0.000    0.080    0.000 parser.py:379(parse_endtag)
    27076    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
    15937    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
75931/69638    0.009    0.000    0.010    0.000 {built-in method builtins.len}
     5326    0.009    0.000    0.018    0.000 __init__.py:950(_popToTag)
65702/65698    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
     5462    0.008    0.000    0.020    0.000 __init__.py:867(object_was_parsed)
     5330    0.008    0.000    0.060    0.000 _htmlparser.py:204(handle_endtag)
     5330    0.008    0.000    0.010    0.000 __init__.py:809(pushTag)
    21250    0.008    0.000    0.015    0.000 _markupbase.py:44(updatepos)
    29572    0.007    0.000    0.011    0.000 _parser.py:168(__getitem__)
     5462    0.007    0.000    0.015    0.000 element.py:1291(__new__)
        1    0.007    0.007    0.007    0.007 {method 'write' of '_io.TextIOWrapper' objects}
    32789    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
  541/536    0.007    0.000    0.057    0.000 {built-in method builtins.__build_class__}
        1    0.007    0.007    0.007    0.007 models.py:909(text)
    15869    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
    28012    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
 1270/190    0.006    0.000    0.072    0.000 _parser.py:452(_parse_sub)
     5462    0.006    0.000    0.010    0.000 __init__.py:732(string_container)
      901    0.006    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
     5328    0.006    0.000    0.007    0.000 __init__.py:786(popTag)
6131/6105    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa44b40}
11328/11303    0.005    0.000    0.011    0.000 typing.py:392(inner)
 5468/371    0.005    0.000    0.009    0.000 _parser.py:178(getwidth)
    21523    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     5328    0.005    0.000    0.018    0.000 parser.py:345(check_for_whole_start_tag)
     5326    0.005    0.000    0.052    0.000 __init__.py:1053(handle_endtag)
        2    0.005    0.002    0.005    0.002 {built-in method _codecs.utf_8_decode}
    28582    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
     4393    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
    16688    0.005    0.000    0.008    0.000 _parser.py:261(get)
     3908    0.005    0.000    0.007    0.000 __init__.py:91(_replace_charref)
     2886    0.004    0.000    0.005    0.000 __init__.py:906(_linkage_fixer)
    25504    0.004    0.000    0.004    0.000 _parser.py:240(__next)
        1    0.004    0.004    0.044    0.044 dammit.py:128(_populate_class_variables)
     1144    0.004    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
    14503    0.003    0.000    0.003    0.000 {built-in method builtins.min}
       11    0.003    0.000    0.122    0.011 {method 'join' of 'bytes' objects}
      859    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    13227    0.003    0.000    0.004    0.000 _parser.py:256(match)
      414    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    11610    0.003    0.000    0.013    0.000 __init__.py:122(unescape)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     5264    0.002    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
    12534    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
8433/8365    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      223    0.002    0.000    0.097    0.000 {method 'read' of '_io.BufferedReader' objects}
    10878    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
      354    0.002    0.000    0.124    0.000 __init__.py:280(_compile)
     8527    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      165    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        3    0.002    0.001    0.010    0.003 filter.py:129(filter)
       39    0.002    0.000    0.021    0.001 response.py:122(decompress)
     5328    0.002    0.000    0.003    0.000 element.py:1812(is_empty_element)
     7465    0.002    0.000    0.003    0.000 _parser.py:176(append)
      165    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
     5617    0.002    0.000    0.006    0.000 filter.py:717(match)
      301    0.002    0.000    1.021    0.003 ssl.py:1237(recv_into)
      301    0.002    0.000    1.024    0.003 socket.py:693(readinto)
     5506    0.002    0.000    0.003    0.000 __init__.py:1065(handle_data)
     2220    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
        2    0.002    0.001    0.007    0.003 {method 'read' of '_io.TextIOWrapper' objects}
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     8463    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    16431    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     5330    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      122    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      215    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      804    0.001    0.000    0.002    0.000 _parser.py:372(_escape)
     2919    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
     5435    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     5950    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     4305    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     5330    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     9153    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      165    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
    218/4    0.001    0.000    0.265    0.066 <frozen importlib._bootstrap>:1349(_find_and_load)
     5104    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      168    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     5628    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     5826    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        3    0.001    0.000    0.001    0.000 {built-in method _io.open}
      901    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
     4249    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      301    0.001    0.000    1.019    0.003 ssl.py:1095(read)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
     5328    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     5030    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      190    0.001    0.000    0.008    0.000 _compiler.py:511(_compile_info)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
       51    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:911(parse_selectors)
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
    167/1    0.001    0.000    1.833    1.833 {built-in method builtins.exec}
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     8251    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
      310    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
    217/4    0.001    0.000    0.264    0.066 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      190    0.001    0.000    0.119    0.001 _compiler.py:740(compile)
       10    0.001    0.000    0.005    0.000 enum.py:919(_convert_)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     3817    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      853    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      197    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     2727    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
    192/4    0.001    0.000    0.264    0.066 <frozen importlib._bootstrap>:911(_load_unlocked)
      192    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4362    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      190    0.001    0.000    0.073    0.000 _parser.py:969(parse)
      301    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       39    0.001    0.000    0.119    0.003 response.py:1173(read_chunked)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
       21    0.001    0.000    0.601    0.029 __init__.py:1(<module>)
