('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         947149 function calls (926387 primitive calls) in 6.868 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      936    1.051    0.001    1.051    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.055    0.055    0.055    0.055 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
       88    0.048    0.001    0.048    0.001 {method '__exit__' of '_io._IOBase' objects}
     5328    0.045    0.000    0.253    0.000 parser.py:301(parse_starttag)
    46417    0.041    0.000    0.041    0.000 {method 'match' of 're.Pattern' objects}
        1    0.037    0.037    0.037    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.032    0.008    0.410    0.103 parser.py:134(goahead)
        1    0.030    0.030    0.030    0.030 {method 'connect' of '_socket.socket' objects}
     5328    0.021    0.000    0.032    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
 4407/159    0.020    0.000    0.060    0.000 _parser.py:512(_parse)
     5328    0.019    0.000    0.116    0.000 __init__.py:987(handle_starttag)
    16254    0.015    0.000    0.015    0.000 element.py:376(setup)
     5328    0.015    0.000    0.136    0.000 _htmlparser.py:142(handle_starttag)
    11140    0.015    0.000    0.064    0.000 __init__.py:826(endData)
 4865/153    0.014    0.000    0.031    0.000 _compiler.py:37(_compile)
     5330    0.013    0.000    0.053    0.000 element.py:1618(__init__)
    93428    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
     5030    0.012    0.000    0.082    0.000 parser.py:379(parse_endtag)
    27076    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
    15933    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
       84    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
     5462    0.009    0.000    0.021    0.000 __init__.py:867(object_was_parsed)
     5326    0.009    0.000    0.018    0.000 __init__.py:950(_popToTag)
66826/61324    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     5330    0.008    0.000    0.062    0.000 _htmlparser.py:204(handle_endtag)
    21250    0.008    0.000    0.015    0.000 _markupbase.py:44(updatepos)
5946/5923    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa44b40}
     5330    0.008    0.000    0.010    0.000 __init__.py:809(pushTag)
    57899    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    32091    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     5462    0.007    0.000    0.016    0.000 element.py:1291(__new__)
     5462    0.007    0.000    0.011    0.000 __init__.py:732(string_container)
    15869    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
    24681    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
    27681    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
        1    0.006    0.006    0.007    0.007 {built-in method _socket.getaddrinfo}
      936    0.006    0.000    1.061    0.001 ssl.py:1237(recv_into)
     5328    0.006    0.000    0.007    0.000 __init__.py:786(popTag)
11249/11229    0.006    0.000    0.010    0.000 typing.py:392(inner)
 1013/153    0.006    0.000    0.060    0.000 _parser.py:452(_parse_sub)
     5326    0.005    0.000    0.054    0.000 __init__.py:1053(handle_endtag)
      562    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
    28582    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
    20362    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     5328    0.005    0.000    0.018    0.000 parser.py:345(check_for_whole_start_tag)
     4392    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
     3908    0.005    0.000    0.007    0.000 __init__.py:91(_replace_charref)
 4764/285    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
      936    0.004    0.000    1.069    0.001 socket.py:693(readinto)
  318/317    0.004    0.000    0.047    0.000 {built-in method builtins.__build_class__}
    11310    0.004    0.000    0.006    0.000 _parser.py:261(get)
     1143    0.004    0.000    0.011    0.000 {method 'sub' of 're.Pattern' objects}
     2886    0.004    0.000    0.004    0.000 __init__.py:906(_linkage_fixer)
        2    0.003    0.002    0.003    0.002 {built-in method _codecs.utf_8_decode}
    18528    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        1    0.003    0.003    0.047    0.047 dammit.py:128(_populate_class_variables)
       85    0.003    0.000    0.300    0.004 {method 'read' of '_io.BufferedReader' objects}
    11610    0.003    0.000    0.013    0.000 __init__.py:122(unescape)
      936    0.003    0.000    1.054    0.001 ssl.py:1095(read)
    13040    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     5264    0.002    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     8218    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
    10878    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     9754    0.002    0.000    0.003    0.000 _parser.py:256(match)
     5328    0.002    0.000    0.003    0.000 element.py:1812(is_empty_element)
        1    0.002    0.002    0.002    0.002 {method 'write' of '_io.BufferedWriter' objects}
        3    0.002    0.001    0.010    0.003 filter.py:129(filter)
    10741    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
     6993    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     5617    0.002    0.000    0.006    0.000 filter.py:717(match)
      314    0.002    0.000    0.104    0.000 __init__.py:280(_compile)
     5506    0.002    0.000    0.003    0.000 __init__.py:1065(handle_data)
        8    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
      936    0.002    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     6464    0.002    0.000    0.002    0.000 _parser.py:176(append)
      8/6    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
       84    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        2    0.002    0.001    0.005    0.002 {method 'read' of '_io.TextIOWrapper' objects}
       98    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
     5330    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      903    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
    16430    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      426    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      202    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      936    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     5428    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2919    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
     5996    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5330    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       84    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
     5100    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     5942    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     1072    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5623    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
     5628    0.001    0.000    0.001    0.000 element.py:2763(descendants)
        3    0.001    0.000    0.001    0.000 {built-in method _io.open}
     7241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5328    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      937    0.001    0.000    0.001    0.000 socket.py:732(readable)
       10    0.001    0.000    0.002    0.000 request.py:434(add_handler)
     5030    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     3935    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3149    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     5369    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      111    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      979    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
     8251    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
     2482    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      153    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
      562    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
      105    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1874    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
     3728    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       84    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      137    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      306    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      938    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
    112/4    0.001    0.000    0.180    0.045 <frozen importlib._bootstrap>:1349(_find_and_load)
      153    0.001    0.000    0.101    0.001 _compiler.py:740(compile)
        1    0.001    0.001    6.483    6.483 financial.py:6(prepare_html)
     4362    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      681    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
    240/9    0.001    0.000    0.178    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      240    0.001    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
       77    0.001    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
      168    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      671    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
        9    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
     1182    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     85/1    0.000    0.000    6.868    6.868 {built-in method builtins.exec}
      566    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
      153    0.000    0.000    0.061    0.000 _parser.py:969(parse)
      343    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     1777    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      170    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
      721    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      347    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
    112/4    0.000    0.000    0.180    0.045 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      240    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    107/5    0.000    0.000    0.180    0.036 <frozen importlib._bootstrap>:911(_load_unlocked)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       90    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
       96    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1356    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       84    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      153    0.000    0.000    0.039    0.000 _compiler.py:573(_code)
      153    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      369    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      588    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      410    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      617    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
  650/611    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      493    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      693    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  178/145    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       10    0.000    0.000    0.355    0.035 __init__.py:1(<module>)
       26    0.000    0.000    0.772    0.030 {method 'readline' of '_io.BufferedReader' objects}
     1122    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1016    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     84/5    0.000    0.000    0.179    0.036 <frozen importlib._bootstrap_external>:989(exec_module)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      779    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
       39    0.000    0.000    0.002    0.000 typing.py:687(Union)
       91    0.000    0.000    0.001    0.000 typing_extensions.py:3029(_collect_parameters)
  107/104    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       21    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
      655    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      410    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       39    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
        1    0.000    0.000    0.001    0.001 request.py:2505(getproxies_environment)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       91    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      517    0.000    0.000    0.000    0.000 element.py:2160(get)
      662    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       88    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      306    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      505    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      314    0.000    0.000    0.104    0.000 __init__.py:226(compile)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      261    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      338    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
        1    0.000    0.000    0.062    0.062 dammit.py:1(<module>)
      296    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       54    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      426    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      100    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      567    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      127    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       92    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       92    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
       42    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      244    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       68    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       19    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       94    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       31    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      112    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
       21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      112    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.061    0.061 request.py:565(build_opener)
      218    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.038    0.038 ssl.py:956(_create)
      153    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      288    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      264    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      485    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
      662    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      343    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.032    0.032 client.py:213(_read_headers)
       80    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      306    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      197    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      306    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.018    0.018 feedparser.py:1(<module>)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
      111    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.000    0.000 message.py:494(get)
       39    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        2    0.000    0.000    0.416    0.208 __init__.py:209(__init__)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       96    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      153    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
      274    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       81    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       79    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        1    0.000    0.000    0.061    0.061 css_parser.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.037    0.037 request.py:1(<module>)
      274    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      127    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
      179    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
    44/33    0.000    0.000    0.071    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       51    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       43    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
        1    0.000    0.000    0.774    0.774 client.py:324(begin)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        2    0.000    0.000    0.013    0.006 utils.py:1(<module>)
       29    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      171    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       73    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       80    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       16    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x73bc4e577380}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.132    0.132 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
