('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         946750 function calls (925996 primitive calls) in 1.779 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      901    1.026    0.001    1.026    0.001 {method 'read' of '_ssl._SSLSocket' objects}
     5328    0.045    0.000    0.263    0.000 parser.py:301(parse_starttag)
    46417    0.042    0.000    0.042    0.000 {method 'match' of 're.Pattern' objects}
        1    0.040    0.040    0.040    0.040 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.033    0.008    0.424    0.106 parser.py:134(goahead)
        1    0.031    0.031    0.031    0.031 {method 'connect' of '_socket.socket' objects}
        1    0.025    0.025    0.025    0.025 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     5328    0.022    0.000    0.033    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     5328    0.020    0.000    0.122    0.000 __init__.py:987(handle_starttag)
 4407/159    0.020    0.000    0.060    0.000 _parser.py:512(_parse)
    16254    0.016    0.000    0.016    0.000 element.py:376(setup)
     5328    0.016    0.000    0.144    0.000 _htmlparser.py:142(handle_starttag)
    11140    0.015    0.000    0.066    0.000 __init__.py:826(endData)
 4865/153    0.014    0.000    0.031    0.000 _compiler.py:37(_compile)
     5330    0.014    0.000    0.056    0.000 element.py:1618(__init__)
    93420    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
     5030    0.013    0.000    0.083    0.000 parser.py:379(parse_endtag)
    27076    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
    15933    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
     5326    0.009    0.000    0.019    0.000 __init__.py:950(_popToTag)
       84    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
     5462    0.009    0.000    0.022    0.000 __init__.py:867(object_was_parsed)
        2    0.009    0.004    0.009    0.004 {built-in method _codecs.utf_8_decode}
     5330    0.009    0.000    0.010    0.000 __init__.py:809(pushTag)
    21250    0.008    0.000    0.015    0.000 _markupbase.py:44(updatepos)
66810/61316    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     5330    0.008    0.000    0.064    0.000 _htmlparser.py:204(handle_endtag)
    57891    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    32091    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     5462    0.007    0.000    0.016    0.000 element.py:1291(__new__)
     5462    0.007    0.000    0.011    0.000 __init__.py:732(string_container)
    15869    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
    27681    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
     5328    0.006    0.000    0.007    0.000 __init__.py:786(popTag)
    24673    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
5946/5923    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
11249/11229    0.006    0.000    0.010    0.000 typing.py:392(inner)
 1013/153    0.006    0.000    0.060    0.000 _parser.py:452(_parse_sub)
     4392    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
      562    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
     5328    0.005    0.000    0.019    0.000 parser.py:345(check_for_whole_start_tag)
     5326    0.005    0.000    0.055    0.000 __init__.py:1053(handle_endtag)
    28582    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
    20362    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
 4764/285    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
      901    0.005    0.000    1.034    0.001 ssl.py:1237(recv_into)
     3908    0.005    0.000    0.007    0.000 __init__.py:91(_replace_charref)
  318/317    0.004    0.000    0.047    0.000 {built-in method builtins.__build_class__}
     2886    0.004    0.000    0.004    0.000 __init__.py:906(_linkage_fixer)
     1143    0.004    0.000    0.011    0.000 {method 'sub' of 're.Pattern' objects}
      901    0.004    0.000    1.041    0.001 socket.py:693(readinto)
    11310    0.004    0.000    0.006    0.000 _parser.py:261(get)
        1    0.003    0.003    0.046    0.046 dammit.py:128(_populate_class_variables)
    18528    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        2    0.003    0.002    0.012    0.006 {method 'read' of '_io.TextIOWrapper' objects}
       85    0.003    0.000    0.277    0.003 {method 'read' of '_io.BufferedReader' objects}
    11610    0.003    0.000    0.013    0.000 __init__.py:122(unescape)
    13040    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     5264    0.003    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    10878    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
      901    0.002    0.000    1.029    0.001 ssl.py:1095(read)
     8218    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {method 'write' of '_io.BufferedWriter' objects}
     5328    0.002    0.000    0.003    0.000 element.py:1812(is_empty_element)
        3    0.002    0.001    0.010    0.003 filter.py:129(filter)
     9754    0.002    0.000    0.003    0.000 _parser.py:256(match)
    10733    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
     6993    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      314    0.002    0.000    0.105    0.000 __init__.py:280(_compile)
     5506    0.002    0.000    0.003    0.000 __init__.py:1065(handle_data)
     5617    0.002    0.000    0.006    0.000 filter.py:717(match)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
        8    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       84    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      8/6    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      903    0.002    0.000    0.002    0.000 _parser.py:172(__setitem__)
     6464    0.002    0.000    0.003    0.000 _parser.py:176(append)
     3149    0.001    0.000    0.002    0.000 _parser.py:293(tell)
    16430    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       98    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
     5330    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      426    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      901    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      202    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     5428    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     5330    0.001    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
     2919    0.001    0.000    0.003    0.000 filter.py:538(matches_tag)
     5996    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      901    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       88    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       84    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
        3    0.001    0.000    0.001    0.000 {built-in method _io.open}
     5100    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     5942    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     1072    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5623    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     5628    0.001    0.000    0.001    0.000 element.py:2763(descendants)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
     7241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5328    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     5030    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     3935    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      902    0.001    0.000    0.001    0.000 socket.py:732(readable)
     5369    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      111    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      979    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     8251    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
        1    0.001    0.001    1.390    1.390 financial.py:6(prepare_html)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
      153    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
      105    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
      562    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     2482    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      306    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     3728    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       84    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    112/4    0.001    0.000    0.182    0.045 <frozen importlib._bootstrap>:1349(_find_and_load)
      137    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.001    0.001    0.002    0.002 {built-in method _socket.getaddrinfo}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      153    0.001    0.000    0.101    0.001 _compiler.py:740(compile)
     4362    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      681    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     1804    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      240    0.001    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      168    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      671    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
        9    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
       77    0.001    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
     1182    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
      903    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
    240/9    0.000    0.000    0.180    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
