movieId, Title, Director, Budget, Cumulative, Runtime
1,Toy Story,John Lasseter,30000000,394436586,81 min
2,Jumanji,Joe Johnston,65000000,262821940,104 min
3,Grumpier Old Men,Howard Deutch,25000000,71500000,101 min
4,Waiting to Exhale,Forest Whitaker,16000000,81452156,124 min
5,Father of the Bride Part II,Charles Shyer,0,76594107,106 min
6,Heat,Michael Mann,60000000,187400000,170 min
7,Sabrina,Sydney Pollack,58000000,53672080,127 min
8,Tom and Huck,Peter Hewitt,0,23920048,97 min
9,Sudden Death,Peter Hyams,35000000,64350171,111 min
10,GoldenEye,Martin Campbell,60000000,352194034,130 min
11,The American President,Rob Reiner,62000000,107879496,114 min
12,Dracula: Dead and Loving It,Mel Brooks,30000000,10772144,88 min
13,Balto,Simon Wells,31000000,11348324,78 min
14,Nixon,Oliver Stone,44000000,13681765,192 min
15,Cutthroat Island,Renny Harlin,98000000,16000000,124 min
16,Casino,Martin Scorsese,50000000,116112375,178 min
17,Sense and Sensibility,Ang Lee,16000000,134582776,136 min
18,Four Rooms,"Allison Anders, Alexandre Rockwell, Robert Rodriguez",4000000,4257354,98 min
19,Ace Ventura: When Nature Calls,Steve Oedekerk,30000000,212385533,90 min
20,Money Train,Joseph Ruben,68000000,77224232,110 min
21,Get Shorty,Barry Sonnenfeld,30250000,115101622,105 min
22,Copycat,Jon Amiel,20000000,32000000,123 min
23,Assassins,Richard Donner,50000000,30303072,133 min
24,Powder,Victor Salva,9500000,30900000,111 min
25,Leaving Las Vegas,Mike Figgis,3600000,49800000,111 min
26,Othello,Oliver Parker,11000000,2800000,123 min
27,Now and Then,Lesli Linka Glatter,12000000,27400000,102 min
28,Persuasion,Roger Michell,0,0,103 min
29,The City of Lost Children,"Marc Caro, Jean-Pierre Jeunet",18000000,1738611,112 min
30,Shanghai Triad,Yimou Zhang,2300000,0,108 min
31,Dangerous Minds,John N. Smith,23000000,179519401,99 min
32,12 Monkeys,Terry Gilliam,29000000,168841459,129 min
34,Babe,Chris Noonan,30000000,254100000,91 min
36,Dead Man Walking,Tim Robbins,11000000,39363635,122 min
